Date,Open,Close
1/4/2016 16:00:00,94.6,94
1/5/2016 16:00:00,94.43,96.49
1/6/2016 16:00:00,95.34,94.64
1/7/2016 16:00:00,94,96.52
1/8/2016 16:00:00,96.95,93.23
1/11/2016 16:00:00,93.64,93.02
1/12/2016 16:00:00,94.23,95.12
1/13/2016 16:00:00,95.32,92.25
1/14/2016 16:00:00,92.18,94.2
1/15/2016 16:00:00,92.39,92.34
1/19/2016 16:00:00,93.18,93.15
1/20/2016 16:00:00,91.81,90.78
1/21/2016 16:00:00,90.95,93.38
1/22/2016 16:00:00,94.32,95.92
1/25/2016 16:00:00,95.81,95.27
1/26/2016 16:00:00,95.34,95.66
1/27/2016 16:00:00,95.63,93.97
1/28/2016 16:00:00,94.96,94.48
1/29/2016 16:00:00,95.45,96.15
2/1/2016 16:00:00,95.72,96.56
2/2/2016 16:00:00,96.2,95.2
2/3/2016 16:00:00,95.74,95.17
2/4/2016 16:00:00,91.4,88.57
2/5/2016 16:00:00,88.13,85.06
2/8/2016 16:00:00,84.61,81.11
2/9/2016 16:00:00,80.83,82.31
2/10/2016 16:00:00,82.66,84.03
2/11/2016 16:00:00,82.81,84
2/12/2016 16:00:00,84.8,81.87
2/16/2016 16:00:00,82.84,83.31
2/17/2016 16:00:00,81.34,81.85
2/18/2016 16:00:00,81.22,83.7
2/19/2016 16:00:00,83.22,83.94
2/22/2016 16:00:00,83.94,83.95
2/23/2016 16:00:00,83.91,83.92
2/24/2016 16:00:00,83.7,83.19
2/25/2016 16:00:00,81.15,85.67
2/26/2016 16:00:00,85.52,84.38
2/29/2016 16:00:00,84.4,84.79
3/1/2016 16:00:00,85.39,86.93
3/2/2016 16:00:00,86.39,87.17
3/3/2016 16:00:00,87.21,86.68
3/4/2016 16:00:00,87.01,87.5
3/7/2016 16:00:00,87.14,85.89
3/8/2016 16:00:00,85.71,85.94
3/9/2016 16:00:00,86.19,85.72
3/10/2016 16:00:00,86.32,86.33
3/11/2016 16:00:00,87,86.32
3/14/2016 16:00:00,85.96,86.56
3/15/2016 16:00:00,86.38,87
3/16/2016 16:00:00,86.77,87.09
3/17/2016 16:00:00,85.92,86.77
3/18/2016 16:00:00,87.07,87.82
3/21/2016 16:00:00,87.8,86.77
3/22/2016 16:00:00,86.55,85.73
3/23/2016 16:00:00,85.75,85.3
