Date,Open,Close
1/4/2016 16:00:00,54.16,54.2
1/5/2016 16:00:00,54.02,53.68
1/6/2016 16:00:00,52.91,53.52
1/7/2016 16:00:00,52.65,52.39
1/8/2016 16:00:00,53.65,52.05
1/11/2016 16:00:00,53,53.94
1/12/2016 16:00:00,54.44,54.68
1/13/2016 16:00:00,54.38,52.38
1/14/2016 16:00:00,51.65,51.94
1/15/2016 16:00:00,49.76,49.83
1/19/2016 16:00:00,50.83,49.07
1/20/2016 16:00:00,49,48.31
1/21/2016 16:00:00,48.48,49.57
1/22/2016 16:00:00,50.18,49.57
1/25/2016 16:00:00,49.55,48.8
1/26/2016 16:00:00,49.22,49.82
1/27/2016 16:00:00,50.47,48.05
1/28/2016 16:00:00,48.44,46.86
1/29/2016 16:00:00,46.94,48.13
2/1/2016 16:00:00,48.1,48.97
2/2/2016 16:00:00,47.25,45.08
2/3/2016 16:00:00,45.61,45.39
2/4/2016 16:00:00,45.5,45.51
2/5/2016 16:00:00,44.85,43.04
2/8/2016 16:00:00,42.3,41.92
2/9/2016 16:00:00,40.77,42.97
2/10/2016 16:00:00,43.44,43.41
2/11/2016 16:00:00,42.71,43.19
2/12/2016 16:00:00,43.28,44.06
2/16/2016 16:00:00,44.62,45.02
2/17/2016 16:00:00,45.23,45.92
2/18/2016 16:00:00,45.94,45.34
2/19/2016 16:00:00,45.36,46.39
2/22/2016 16:00:00,46.49,47.73
2/23/2016 16:00:00,47.75,48.1
2/24/2016 16:00:00,46.98,48.03
2/25/2016 16:00:00,48.04,48.51
2/26/2016 16:00:00,48.66,48.34
2/29/2016 16:00:00,48.33,47.96
3/1/2016 16:00:00,48.59,48.96
3/2/2016 16:00:00,48.69,48.16
3/3/2016 16:00:00,47.39,48.05
3/4/2016 16:00:00,48.03,47.97
3/7/2016 16:00:00,47.54,47.05
3/8/2016 16:00:00,46.88,46.36
3/9/2016 16:00:00,46.51,46.47
3/10/2016 16:00:00,46.39,46.3
3/11/2016 16:00:00,46.87,47.91
3/14/2016 16:00:00,48.08,48.12
3/15/2016 16:00:00,47.71,47.91
3/16/2016 16:00:00,47.74,48.83
3/17/2016 16:00:00,48.84,48.97
3/18/2016 16:00:00,48.95,49.63
3/21/2016 16:00:00,49.63,49.78
3/22/2016 16:00:00,47.94,48.75
3/23/2016 16:00:00,48.89,48.06
3/24/2016 16:00:00,48.21,48.92
3/28/2016 16:00:00,48.98,49.02
3/29/2016 16:00:00,49.11,49.64
3/30/2016 16:00:00,50.78,52.37
3/31/2016 16:00:00,52.29,52.77
4/1/2016 16:00:00,52.2,52.75
4/4/2016 16:00:00,52.8,53.03
4/5/2016 16:00:00,52.19,51.5
4/6/2016 16:00:00,51.92,51.99
4/7/2016 16:00:00,51.84,51.18
4/8/2016 16:00:00,51.71,51.14
4/11/2016 16:00:00,51.46,50.8
4/12/2016 16:00:00,51.28,51.23
4/13/2016 16:00:00,51.52,51.68
4/14/2016 16:00:00,51.66,51.57
4/15/2016 16:00:00,51.53,51.02
4/18/2016 16:00:00,51.86,50.84
4/19/2016 16:00:00,51.08,50.6
4/20/2016 16:00:00,50.61,50.04
4/21/2016 16:00:00,49.69,49.18
4/22/2016 16:00:00,49.1,48.51
4/25/2016 16:00:00,48.74,49.24
4/26/2016 16:00:00,49.17,49.13
4/27/2016 16:00:00,49.21,49.49
4/28/2016 16:00:00,48.79,48.71
4/29/2016 16:00:00,49.15,49.05
5/2/2016 16:00:00,49.33,49.53
5/3/2016 16:00:00,49.05,49.49
5/4/2016 16:00:00,49.11,49.16
5/5/2016 16:00:00,49.01,48.39
5/6/2016 16:00:00,48.42,49.22
5/9/2016 16:00:00,49.3,49.74
5/10/2016 16:00:00,49.13,50.39
5/11/2016 16:00:00,50.28,50.28
5/12/2016 16:00:00,50.88,51.05
5/13/2016 16:00:00,50.56,49.6
5/16/2016 16:00:00,49.69,49.99
5/17/2016 16:00:00,50.12,49.93
5/18/2016 16:00:00,49.94,50.33
5/19/2016 16:00:00,49.94,49.55
5/20/2016 16:00:00,49.9,50.03
5/23/2016 16:00:00,50.24,49.91
5/24/2016 16:00:00,50.22,50.83
5/25/2016 16:00:00,50.23,49.63
5/26/2016 16:00:00,48.68,47.59
5/27/2016 16:00:00,48.18,48.6
5/31/2016 16:00:00,48.6,47.74
6/1/2016 16:00:00,47.28,48.05
6/2/2016 16:00:00,47.88,48.33
6/3/2016 16:00:00,47.91,47.75
6/6/2016 16:00:00,47.1,47.07
6/7/2016 16:00:00,47.51,47.5
6/8/2016 16:00:00,47.41,47.68
6/9/2016 16:00:00,47.69,48.03
6/10/2016 16:00:00,47.13,47.15
6/13/2016 16:00:00,46.5,46.64
6/14/2016 16:00:00,46.07,46.52
