Date,Open,Close
1/4/2016 15:16:00,22.48,44.68
1/5/2016 15:16:00,20.75,44.69
1/6/2016 15:16:00,21.67,43.81
1/7/2016 15:16:00,23.22,43.13
1/8/2016 15:16:00,22.96,42.2
1/11/2016 15:16:00,25.58,41.57
1/12/2016 15:16:00,22.97,41.99
1/13/2016 15:16:00,21.72,40.06
1/14/2016 15:16:00,24.75,41.24
1/15/2016 15:16:00,28.96,41
1/19/2016 15:16:00,25.4,40.94
1/20/2016 15:16:00,27.78,39.74
1/21/2016 15:16:00,27.79,39.99
1/22/2016 15:16:00,24.21,40.51
1/25/2016 15:16:00,23.3,39.28
1/26/2016 15:16:00,23.75,38.71
1/27/2016 15:16:00,22.88,37.61
1/28/2016 15:16:00,22.15,37.94
1/29/2016 15:16:00,21.59,38.24
2/1/2016 15:16:00,21.32,39.39
2/2/2016 15:16:00,21.34,36.56
2/3/2016 15:16:00,21.49,34.7
2/4/2016 15:16:00,22.29,35.07
2/5/2016 15:16:00,22.09,32.52
2/8/2016 15:16:00,25.89,29.6
2/9/2016 15:16:00,28.3,29.65
2/10/2016 15:16:00,25.75,28.73
2/11/2016 15:16:00,29.01,30.09
2/12/2016 15:16:00,27.16,30.21
2/16/2016 15:16:00,24.96,31.03
2/17/2016 15:16:00,23.4,33.74
2/18/2016 15:16:00,22.16,33.35
2/19/2016 15:16:00,22.39,33.32
2/22/2016 15:16:00,20.14,35.55
2/23/2016 15:16:00,19.75,35.44
2/24/2016 15:16:00,22.28,35.8
2/25/2016 15:16:00,20.54,37.49
2/26/2016 15:16:00,18.89,38.07
2/29/2016 15:16:00,20.49,38.39
3/1/2016 15:16:00,19.84,37.27
3/2/2016 15:16:00,17.98,37.67
3/3/2016 15:16:00,17.25,39.15
3/4/2016 15:16:00,16.48,40.21
3/7/2016 15:16:00,17.98,41.06
3/8/2016 15:16:00,18.38,40.52
3/9/2016 15:16:00,18.56,41.74
3/10/2016 15:16:00,18.17,41.04
3/11/2016 15:16:00,17.09,41.5
3/14/2016 15:16:00,17.01,43.03
3/15/2016 15:16:00,17.01,43.67
3/16/2016 15:16:00,15.96,44.39
3/17/2016 15:16:00,15.34,45.28
3/18/2016 15:16:00,14.05,46.55
3/21/2016 15:16:00,14.57,47.66
3/22/2016 15:16:00,14.57,46.85
3/23/2016 15:16:00,14.57,44.52
3/24/2016 15:16:00,16.3,45.55
3/28/2016 15:16:00,15.65,46.05
3/29/2016 15:16:00,15.74,46.03
3/30/2016 15:16:00,13.69,45.38
3/31/2016 15:16:00,13.73,45.95
4/1/2016 15:16:00,15.23,47.52
4/4/2016 15:16:00,13.88,49.4
4/5/2016 15:16:00,15.39,51.09
4/6/2016 15:16:00,15.61,53.08
4/7/2016 15:16:00,15.14,51.44
4/8/2016 15:16:00,15.34,50.01
4/11/2016 15:16:00,15.34,49.98
4/12/2016 15:16:00,15.98,49.56
4/13/2016 15:16:00,14.49,50.91
4/14/2016 15:16:00,13.9,50.37
4/15/2016 15:16:00,13.99,50.9
4/18/2016 15:16:00,14.43,50.78
4/19/2016 15:16:00,13.11,49.47
4/20/2016 15:16:00,13.21,49.99
4/21/2016 15:16:00,13.62,49.66
4/22/2016 15:16:00,13.7,50.75
4/25/2016 15:16:00,14.33,50.36
4/26/2016 15:16:00,14.01,50.75
4/27/2016 15:16:00,14.15,50.29
4/28/2016 15:16:00,14.53,49.54
4/29/2016 15:16:00,15.21,48.15
5/2/2016 15:16:00,16.33,48.36
5/3/2016 15:16:00,14.92,46.46
5/4/2016 15:16:00,15.47,44.51
5/5/2016 15:16:00,15.54,42.31
5/6/2016 15:16:00,16.2,42.99
5/9/2016 15:16:00,15.2,41.78
5/10/2016 15:16:00,13.98,41.74
