Date,Open,Close
1/4/2016 16:00:00,46.14,44.68
1/5/2016 16:00:00,45.27,44.69
1/6/2016 16:00:00,44,43.81
1/7/2016 16:00:00,42.84,43.13
1/8/2016 16:00:00,43.57,42.2
1/11/2016 16:00:00,42.8,41.57
1/12/2016 16:00:00,42.32,41.99
1/13/2016 16:00:00,42.4,40.06
1/14/2016 16:00:00,40.44,41.24
1/15/2016 16:00:00,39.79,41
1/19/2016 16:00:00,41.74,40.94
1/20/2016 16:00:00,39.88,39.74
1/21/2016 16:00:00,40.31,39.99
1/22/2016 16:00:00,40.96,40.51
1/25/2016 16:00:00,40.01,39.28
1/26/2016 16:00:00,39.34,38.71
1/27/2016 16:00:00,38.48,37.61
1/28/2016 16:00:00,38.16,37.94
1/29/2016 16:00:00,37.99,38.24
2/1/2016 16:00:00,37.75,39.39
2/2/2016 16:00:00,38.48,36.56
2/3/2016 16:00:00,36.72,34.7
2/4/2016 16:00:00,34.14,35.07
2/5/2016 16:00:00,34.26,32.52
2/8/2016 16:00:00,31.42,29.6
2/9/2016 16:00:00,28.46,29.65
2/10/2016 16:00:00,30.1,28.73
2/11/2016 16:00:00,30.4,30.09
2/12/2016 16:00:00,31,30.21
2/16/2016 16:00:00,31.74,31.03
2/17/2016 16:00:00,31.8,33.74
2/18/2016 16:00:00,34.48,33.35
2/19/2016 16:00:00,32.73,33.32
2/22/2016 16:00:00,34.02,35.55
2/23/2016 16:00:00,35.23,35.44
2/24/2016 16:00:00,34.55,35.8
2/25/2016 16:00:00,35.73,37.49
2/26/2016 16:00:00,37.74,38.07
2/29/2016 16:00:00,38.48,38.39
3/1/2016 16:00:00,38.85,37.27
3/2/2016 16:00:00,36.75,37.67
3/3/2016 16:00:00,37.66,39.15
3/4/2016 16:00:00,39.6,40.21
3/7/2016 16:00:00,39.54,41.06
3/8/2016 16:00:00,40.7,40.52
3/9/2016 16:00:00,40.9,41.74
3/10/2016 16:00:00,42,41.04
3/11/2016 16:00:00,41.59,41.5
3/14/2016 16:00:00,42.53,43.03
3/15/2016 16:00:00,42.85,43.67
3/16/2016 16:00:00,43.6,44.39
3/17/2016 16:00:00,44.29,45.28
3/18/2016 16:00:00,45.82,46.55
3/21/2016 16:00:00,47.07,47.66
3/22/2016 16:00:00,47.44,46.85
3/23/2016 16:00:00,46.47,44.52
3/24/2016 16:00:00,43.16,45.55
3/28/2016 16:00:00,46.32,46.05
3/29/2016 16:00:00,45.98,46.03
3/30/2016 16:00:00,47.02,45.38
3/31/2016 16:00:00,45.87,45.95
4/1/2016 16:00:00,48.97,47.52
4/4/2016 16:00:00,49.82,49.4
4/5/2016 16:00:00,48.1,51.09
4/6/2016 16:00:00,50.79,53.08
4/7/2016 16:00:00,53.29,51.44
4/8/2016 16:00:00,52.1,50.01
4/11/2016 16:00:00,50.2,49.98
4/12/2016 16:00:00,49.9,49.56
4/13/2016 16:00:00,49.7,50.91
4/14/2016 16:00:00,50.6,50.37
4/15/2016 16:00:00,50.26,50.9
4/18/2016 16:00:00,50.45,50.78
4/19/2016 16:00:00,50.62,49.47
4/20/2016 16:00:00,49.25,49.99
4/21/2016 16:00:00,49.8,49.66
4/22/2016 16:00:00,49.78,50.75
4/25/2016 16:00:00,50.6,50.36
4/26/2016 16:00:00,50.41,50.75
4/27/2016 16:00:00,50.55,50.29
4/28/2016 16:00:00,49.97,49.54
4/29/2016 16:00:00,49.63,48.15
5/2/2016 16:00:00,48.3,48.36
5/3/2016 16:00:00,47.47,46.46
5/4/2016 16:00:00,46.06,44.51
5/5/2016 16:00:00,45.69,42.31
5/6/2016 16:00:00,42.17,42.99
5/9/2016 16:00:00,43.14,41.78
5/10/2016 16:00:00,41.51,41.74
5/11/2016 16:00:00,41.52,41.79
5/12/2016 16:00:00,42.29,41.46
5/13/2016 16:00:00,41.56,41.52
5/16/2016 16:00:00,41.63,41.66
5/17/2016 16:00:00,41.81,40.93
5/18/2016 16:00:00,41.83,42.23
5/19/2016 16:00:00,42.72,43.04
5/20/2016 16:00:00,43.4,44.06
5/23/2016 16:00:00,43.97,43.24
5/24/2016 16:00:00,43.32,43.58
5/25/2016 16:00:00,43.58,43.92
5/26/2016 16:00:00,44.1,45.02
5/27/2016 16:00:00,45,44.61
5/31/2016 16:00:00,44.61,44.65
6/1/2016 16:00:00,44.3,43.91
6/2/2016 16:00:00,43.92,43.79
6/3/2016 16:00:00,44,43.8
6/6/2016 16:00:00,43.6,44.14
6/7/2016 16:00:00,44.45,46.47
6/8/2016 16:00:00,46.76,47.1
6/9/2016 16:00:00,47,45.87
6/10/2016 16:00:00,45.48,43.76
6/13/2016 16:00:00,43.9,43.57
6/14/2016 16:00:00,43.78,42.99
6/15/2016 16:00:00,43.39,43.54
6/16/2016 16:00:00,43.48,43.59
6/17/2016 16:00:00,43.56,43.09
6/20/2016 16:00:00,43.9,43.94
6/21/2016 16:00:00,44.14,43.92
6/22/2016 16:00:00,39.89,39.33
6/23/2016 16:00:00,39.14,39.28
6/24/2016 16:00:00,38.01,38.63
6/27/2016 16:00:00,38.17,39.71
6/28/2016 16:00:00,40.38,40.36
6/29/2016 16:00:00,41.03,42.04
6/30/2016 16:00:00,42.59,42.46
7/1/2016 16:00:00,41.23,43.3
7/5/2016 16:00:00,41.95,42.8
7/6/2016 16:00:00,42,42.89
7/7/2016 16:00:00,42.62,43.19
7/8/2016 16:00:00,43.56,43.36
7/11/2016 16:00:00,43.99,44.96
7/12/2016 16:00:00,44.82,44.93
7/13/2016 16:00:00,45.1,44.51
7/14/2016 16:00:00,44.62,44.31
7/15/2016 16:00:00,44.5,44.08
7/18/2016 16:00:00,43.93,45.25
7/19/2016 16:00:00,45,45.05
7/20/2016 16:00:00,45.29,45.67
7/21/2016 16:00:00,45.2,44.1
7/22/2016 16:00:00,44.4,44.45
7/25/2016 16:00:00,44.45,46
7/26/2016 16:00:00,45.54,45.9
7/27/2016 16:00:00,45.87,45.7
7/28/2016 16:00:00,45.59,46.12
7/29/2016 16:00:00,46.14,46.96
8/1/2016 16:00:00,47.1,46
8/2/2016 16:00:00,45.87,45.44
8/3/2016 16:00:00,45.47,45.16
8/4/2016 16:00:00,45.14,46.12
8/5/2016 16:00:00,46,46.01
8/8/2016 16:00:00,45.6,45.23
