Date,Open,Close
1/4/2016 16:00:00,67.06,67.38
1/5/2016 16:00:00,67.15,68.5
1/6/2016 16:00:00,66.72,65.41
1/7/2016 16:00:00,64.04,64.23
1/8/2016 16:00:00,64.73,63.14
1/11/2016 16:00:00,62.93,61.2
1/12/2016 16:00:00,61.4,60.95
1/13/2016 16:00:00,61.72,60.38
1/14/2016 16:00:00,60.73,63.97
1/15/2016 16:00:00,61.3,62.76
1/19/2016 16:00:00,63.47,61.44
1/20/2016 16:00:00,60.24,59.6
1/21/2016 16:00:00,59.09,60.83
1/22/2016 16:00:00,63.5,63.77
1/25/2016 16:00:00,62.98,61.76
1/26/2016 16:00:00,63.06,63.2
1/27/2016 16:00:00,62.77,64.13
1/28/2016 16:00:00,66.12,65.84
1/29/2016 16:00:00,65.96,68.8
2/1/2016 16:00:00,67.51,66.53
2/2/2016 16:00:00,64.31,65.45
2/3/2016 16:00:00,66.56,68.1
2/4/2016 16:00:00,68.87,66.95
2/5/2016 16:00:00,66.37,65.44
2/8/2016 16:00:00,63.65,66.16
2/9/2016 16:00:00,65.1,65.19
2/10/2016 16:00:00,65.1,65.63
2/11/2016 16:00:00,64.36,66.17
2/12/2016 16:00:00,66.97,67.03
2/16/2016 16:00:00,68.22,67.98
2/17/2016 16:00:00,69.31,70.6
2/18/2016 16:00:00,71.3,70.26
2/19/2016 16:00:00,69.81,70.23
2/22/2016 16:00:00,71.87,71.65
2/23/2016 16:00:00,71.34,68.97
2/24/2016 16:00:00,67.68,69.44
2/25/2016 16:00:00,69.55,69.65
2/26/2016 16:00:00,71.23,69.8
2/29/2016 16:00:00,70.31,68.82
3/1/2016 16:00:00,69.25,70.45
3/2/2016 16:00:00,70.08,71.61
3/3/2016 16:00:00,71.59,70.49
3/4/2016 16:00:00,70.7,69.72
3/7/2016 16:00:00,70.07,70.35
3/8/2016 16:00:00,69.12,66.4
3/9/2016 16:00:00,67.23,68.43
3/10/2016 16:00:00,68.27,68.44
3/11/2016 16:00:00,69.67,69.95
3/14/2016 16:00:00,69.13,69.05
3/15/2016 16:00:00,68.06,68.33
3/16/2016 16:00:00,68.74,69.42
3/17/2016 16:00:00,70.33,70.66
3/18/2016 16:00:00,71.24,71.3
3/21/2016 16:00:00,70.89,70.67
3/22/2016 16:00:00,70.03,69.61
3/23/2016 16:00:00,68.89,68.29
3/24/2016 16:00:00,67.27,68.51
3/28/2016 16:00:00,68.66,68.03
3/29/2016 16:00:00,66.95,67.93
3/30/2016 16:00:00,68.91,68.6
3/31/2016 16:00:00,68.24,68.43
4/1/2016 16:00:00,67.23,68.2
4/4/2016 16:00:00,68.68,68.19
4/5/2016 16:00:00,67.48,67.42
4/6/2016 16:00:00,67.94,70.12
4/7/2016 16:00:00,69.55,69.38
4/8/2016 16:00:00,70.71,70.6
4/11/2016 16:00:00,70.81,70.79
4/12/2016 16:00:00,71.28,72.45
4/13/2016 16:00:00,72.65,72.24
4/14/2016 16:00:00,72.66,74.32
4/15/2016 16:00:00,73.8,72.15
4/18/2016 16:00:00,70.7,73.3
4/19/2016 16:00:00,73.71,74.86
4/20/2016 16:00:00,74.63,75.07
4/21/2016 16:00:00,75.21,74.62
4/22/2016 16:00:00,74.92,75.85
4/25/2016 16:00:00,75.26,75.1
4/26/2016 16:00:00,75.75,76.48
4/27/2016 16:00:00,76.76,77.52
4/28/2016 16:00:00,77.71,76.23
4/29/2016 16:00:00,76.5,76.65
5/2/2016 16:00:00,76.22,76.33
5/3/2016 16:00:00,75.43,75.57
5/4/2016 16:00:00,75.18,73.96
5/5/2016 16:00:00,75.66,76.14
5/6/2016 16:00:00,75.31,76.06
5/9/2016 16:00:00,75.25,75.54
5/10/2016 16:00:00,75.66,76.41
5/11/2016 16:00:00,75.9,76.31
5/12/2016 16:00:00,76.98,76.48
5/13/2016 16:00:00,76.36,75.34
5/16/2016 16:00:00,76.15,76.53
5/17/2016 16:00:00,76.33,76.34
5/18/2016 16:00:00,75.38,74.81
5/19/2016 16:00:00,74.5,74.84
5/20/2016 16:00:00,75.31,74.96
5/23/2016 16:00:00,74.48,74.87
5/24/2016 16:00:00,75.54,76.12
5/25/2016 16:00:00,76.87,76.17
5/26/2016 16:00:00,76.7,76.11
5/27/2016 16:00:00,75.97,76.15
5/31/2016 16:00:00,76.22,75.44
6/1/2016 16:00:00,74.9,75.44
